price,carat,table,depth,y,z,cut,color,clarity,x
3446,0.78,58.0,61.5,5.98,3.66,1,3,4,5.93
732,0.31,56.0,60.8,4.32,2.64,2,1,6,4.37
475,0.3,54.0,62.3,4.34,2.69,2,3,6,4.3
9552,1.04,58.0,62.0,6.46,4.03,2,2,3,6.54
1276,0.65,55.0,61.4,5.62,3.44,2,7,6,5.58
3662,0.9,60.0,62.2,6.19,3.84,1,2,7,6.15
446,0.31,55.0,62.3,4.36,2.71,3,5,6,4.34
2902,0.71,59.0,64.6,5.59,3.62,5,2,5,5.62
18193,2.05,57.0,62.4,8.09,5.08,2,2,6,8.17
4791,1.1,58.0,61.3,6.71,4.09,3,2,6,6.64
5644,1.19,61.0,59.9,6.91,4.12,3,6,4,6.85
2340,0.65,57.0,62.2,5.53,3.46,2,3,4,5.6
709,0.3,56.0,61.4,4.32,2.66,2,1,6,4.35
2400,0.71,58.0,61.2,5.79,3.54,2,4,6,5.77
1240,0.33,55.0,61.3,4.5,2.75,2,3,1,4.47
11853,1.3,57.0,60.9,7.11,4.31,2,4,3,7.04
844,0.3,58.0,61.8,4.31,2.68,1,2,5,4.36
11197,1.29,57.0,60.7,7.05,4.29,2,3,4,7.08
2297,0.69,56.0,62.4,5.69,3.55,2,4,6,5.66
787,0.28,55.0,60.6,4.3,2.6,2,2,2,4.28
1046,0.31,56.0,61.2,4.34,2.67,2,4,2,4.38
8268,1.4,54.0,61.8,7.21,4.44,3,1,7,7.16
4781,1.01,59.0,63.3,6.31,3.97,6,4,6,6.24
1410,0.5,59.0,59.3,5.24,3.09,1,2,6,5.19
13528,1.5,60.0,61.1,7.3,4.49,3,4,5,7.4
7648,1.03,56.0,61.3,6.5,3.99,2,4,4,6.52
5034,1.01,56.0,64.7,6.27,4.08,5,2,6,6.34
6139,1.51,58.0,62.0,7.37,4.55,3,2,8,7.31
2765,0.76,57.0,61.2,5.91,3.61,2,5,6,5.88
5726,1.21,60.0,60.6,6.85,4.16,3,6,4,6.89
