id,carat,table,depth,y,z,cut,color,clarity,x
0,1.1,58.0,62.2,6.6,4.13,1,5,7,6.69
1,0.51,57.0,62.5,5.1,3.18,2,6,6,5.07
2,2.03,59.0,61.9,8.09,5.02,1,4,6,8.14
3,1.21,60.0,60.0,6.91,4.16,1,3,6,6.96
4,0.55,55.0,61.8,5.22,3.24,2,3,6,5.27
5,0.7,58.0,61.1,5.79,3.52,1,5,6,5.74
6,0.59,61.0,60.2,5.47,3.28,2,2,5,5.43
7,0.54,54.0,61.9,5.25,3.24,2,5,2,5.22
8,0.9,60.0,58.1,6.24,3.63,1,1,7,6.26
9,1.33,57.0,60.2,7.17,4.3,2,3,1,7.12
10,0.78,56.0,61.4,5.95,3.64,2,2,5,5.91
11,0.31,54.0,61.6,4.41,2.71,2,2,6,4.39
12,0.38,56.0,61.2,4.68,2.85,2,5,6,4.63
13,0.93,58.0,63.8,6.09,3.9,6,4,6,6.14
14,0.35,59.0,58.9,4.59,2.72,1,2,5,4.64
15,1.0,61.0,61.6,6.35,3.89,6,5,6,6.29
16,0.62,66.0,55.1,5.7,3.18,5,3,6,5.85
17,1.01,56.0,60.5,6.53,3.94,2,7,6,6.49
18,0.35,57.0,59.8,4.6,2.75,2,6,5,4.59
19,0.9,58.0,59.5,6.33,3.75,3,1,7,6.28
20,0.3,58.0,61.9,4.32,2.66,1,1,5,4.28
21,1.24,55.0,62.0,6.89,4.29,1,4,4,6.95
22,0.3,59.0,62.0,4.26,2.65,1,5,2,4.29
23,1.18,58.0,61.5,6.87,4.2,3,2,3,6.78
24,1.04,56.0,59.6,6.59,3.94,2,5,7,6.64
25,1.23,62.0,59.2,7.05,4.16,3,2,6,7.0
26,1.21,60.0,59.0,6.99,4.11,1,3,7,6.94
27,0.36,56.0,63.3,4.56,2.87,6,6,4,4.51
28,0.71,58.0,64.3,5.55,3.59,6,3,6,5.61
29,2.52,59.0,63.7,8.52,5.44,6,4,7,8.57
30,0.34,57.0,61.0,4.48,2.74,2,2,6,4.51
31,0.99,56.0,61.1,6.47,3.94,2,5,6,6.44
32,1.16,57.0,62.1,6.73,4.17,2,1,5,6.7
33,1.27,59.0,62.6,6.86,4.32,1,6,5,6.95
34,0.5,54.0,62.6,5.11,3.19,2,2,5,5.08
35,0.57,58.0,60.7,5.37,3.24,3,4,5,5.31
36,0.28,60.0,60.9,4.26,2.59,3,2,2,4.25
37,0.7,59.0,60.1,5.72,3.46,1,6,3,5.8
38,2.0,61.0,58.8,8.23,4.86,1,3,6,8.29
39,0.24,64.0,60.8,4.0,2.42,6,3,4,3.96
40,0.33,60.0,61.4,4.39,2.71,1,4,2,4.44
41,1.2,58.0,62.2,6.72,4.2,1,5,6,6.78
42,0.64,61.0,57.7,5.75,3.29,6,3,4,5.68
43,1.21,60.0,58.8,6.95,4.1,1,5,7,6.99
44,0.7,52.0,65.1,5.57,3.65,5,3,7,5.64
45,0.42,54.0,62.2,4.84,3.0,2,4,1,4.81
46,1.0,62.0,59.2,6.54,3.86,3,1,6,6.49
47,1.01,56.0,62.2,6.4,3.99,2,2,6,6.43
48,0.9,60.0,60.8,6.25,3.79,1,2,7,6.21
49,0.51,59.8,60.1,5.19,3.1,3,5,5,5.14
50,0.32,55.0,62.1,4.4,2.73,2,1,7,4.38
51,0.3,55.0,61.5,4.4,2.68,2,2,5,4.32
52,0.3,53.0,63.4,4.25,2.71,3,5,4,4.3
53,0.71,53.0,62.0,5.76,3.56,3,4,4,5.72
54,1.13,59.0,60.4,6.75,4.06,1,2,7,6.7
55,0.32,55.0,61.4,4.43,2.71,2,4,3,4.4
56,1.0,58.0,65.8,6.15,4.07,5,3,6,6.23
57,0.68,60.0,58.1,5.91,3.4,6,3,6,5.8
58,0.59,57.0,61.6,5.39,3.31,2,2,4,5.35
59,0.3,56.0,60.8,4.36,2.65,2,3,1,4.35
60,1.33,58.0,59.9,7.17,4.28,1,3,7,7.13
61,1.11,58.0,61.5,6.66,4.11,2,4,4,6.7
62,0.55,62.0,57.0,5.44,3.1,6,3,6,5.42
63,0.9,59.0,62.1,6.17,3.82,3,2,6,6.13
64,0.9,59.0,61.6,6.19,3.8,3,4,6,6.13
65,1.5,56.0,64.0,7.16,4.6,6,7,6,7.21
66,0.7,55.0,61.9,5.72,3.52,2,5,4,5.66
67,0.9,58.0,64.8,6.03,3.92,5,5,5,6.07
68,0.37,59.0,61.8,4.6,2.83,3,2,5,4.56
69,0.34,58.0,62.6,4.45,2.78,3,2,5,4.43
70,0.92,60.0,61.0,6.27,3.82,3,3,4,6.25
71,1.0,57.0,67.3,6.04,4.1,5,1,6,6.15
72,0.58,56.0,65.8,5.12,3.41,5,3,8,5.23
73,1.09,55.0,61.9,6.6,4.1,2,2,7,6.64
74,0.8,60.0,63.4,5.82,3.72,6,5,5,5.92
75,2.01,59.0,60.3,8.15,4.94,1,4,6,8.23
76,2.15,57.0,62.5,8.16,5.11,2,6,6,8.2
77,1.81,58.0,62.7,7.68,4.84,1,6,5,7.77
78,0.4,53.0,62.4,4.75,2.96,2,2,6,4.73
79,1.55,61.0,61.3,7.46,4.55,3,5,5,7.39
80,0.9,58.0,63.7,6.09,3.89,6,4,6,6.12
81,1.1,56.0,61.7,6.65,4.09,2,5,4,6.61
82,1.12,57.0,61.9,6.69,4.13,2,5,4,6.66
83,1.11,58.0,62.5,6.6,4.15,3,1,2,6.67
84,1.33,61.0,62.5,6.99,4.38,1,6,5,7.02
85,1.6,58.6,61.2,7.63,4.62,3,5,4,7.48
86,0.51,56.0,57.6,5.35,3.06,6,4,3,5.27
87,1.5,56.0,61.4,7.38,4.52,2,4,7,7.34
88,0.4,57.0,62.6,4.73,2.94,2,4,2,4.66
89,0.5,58.0,62.8,5.01,3.16,1,1,4,5.05
90,2.02,57.0,61.7,8.05,4.99,2,6,7,8.12
91,1.12,56.0,62.0,6.61,4.12,1,5,6,6.68
92,0.53,58.0,63.0,5.15,3.25,1,4,4,5.17
93,0.39,58.0,62.5,4.67,2.9,3,7,2,4.61
94,0.66,58.0,61.0,5.57,3.43,1,1,4,5.67
95,0.4,57.0,59.1,4.81,2.86,1,1,5,4.87
96,0.45,61.0,63.7,4.73,3.04,6,1,5,4.81
97,0.9,61.0,63.2,5.99,3.81,3,2,7,6.06
98,0.42,55.0,62.3,4.77,2.99,2,2,5,4.83
99,1.53,59.0,61.6,7.35,4.54,1,7,2,7.39
100,0.35,54.0,62.6,4.56,2.84,2,4,4,4.52
101,0.72,59.0,62.1,5.71,3.56,1,7,6,5.75
102,0.9,60.0,62.4,6.06,3.81,1,6,5,6.16
103,0.47,59.0,65.2,4.82,3.12,5,2,6,4.75
104,1.25,54.4,61.9,6.93,4.28,2,1,7,6.9
105,0.31,55.0,61.9,4.41,2.72,2,4,2,4.38
106,1.71,57.0,63.7,7.5,4.79,6,4,7,7.54
107,0.31,53.0,62.2,4.4,2.72,2,2,1,4.35
108,0.3,60.0,62.0,4.26,2.65,1,1,6,4.29
109,0.9,62.0,59.4,6.19,3.69,1,1,6,6.24
110,0.94,53.0,68.4,5.97,4.11,5,5,6,6.05
111,1.02,56.0,62.9,6.47,4.04,3,2,5,6.37
112,0.5,56.0,60.1,5.22,3.13,2,3,6,5.19
113,0.5,54.0,68.4,4.82,3.35,5,3,8,4.94
114,0.8,56.0,62.4,5.98,3.72,2,1,4,5.94
115,0.91,63.0,57.7,6.3,3.65,6,2,8,6.35
116,2.02,58.0,61.8,8.1,4.94,1,4,6,8.16
117,0.51,56.0,62.4,5.14,3.2,2,4,5,5.11
118,0.4,55.0,62.1,4.79,2.96,2,2,4,4.75
119,0.41,55.0,62.6,4.76,2.99,2,1,7,4.8
120,0.3,59.0,63.3,4.23,2.7,3,6,6,4.3
121,1.15,56.0,60.9,6.8,4.14,2,2,2,6.79
122,0.3,56.0,62.1,4.32,2.67,2,5,6,4.3
123,0.9,58.0,62.4,6.19,3.85,3,7,4,6.15
124,1.39,61.0,60.9,7.19,4.37,3,2,4,7.15
125,0.42,58.0,60.6,4.95,2.96,3,4,4,4.82
126,0.55,56.0,61.1,5.33,3.24,2,3,7,5.25
127,0.71,57.0,62.1,5.73,3.54,2,5,6,5.68
128,0.52,57.0,60.6,5.22,3.16,2,3,1,5.21
129,0.9,59.0,62.7,6.16,3.84,3,4,5,6.09
130,0.59,56.0,61.3,5.42,3.31,2,4,6,5.38
131,0.7,56.0,61.6,5.71,3.5,2,7,5,5.65
132,0.31,56.0,61.5,4.37,2.68,2,3,5,4.34
133,0.3,59.0,59.6,4.38,2.6,1,4,4,4.34
134,0.34,60.0,62.4,4.41,2.76,1,5,5,4.44
135,0.71,58.0,60.7,5.78,3.56,1,1,6,5.95
136,0.32,55.0,63.2,4.34,2.75,3,5,7,4.36
137,0.72,55.0,62.3,5.76,3.58,2,7,6,5.73
138,1.06,56.0,62.7,6.46,4.08,1,4,6,6.55
139,0.76,58.0,62.0,5.86,3.62,3,3,5,5.8
140,0.3,59.0,62.7,4.27,2.66,3,5,5,4.22
141,1.5,60.0,61.5,7.27,4.48,1,7,3,7.31
142,0.53,54.0,62.9,5.17,3.24,3,1,7,5.13
143,2.11,55.0,63.5,8.13,5.15,3,3,7,8.08
144,1.07,58.0,61.7,6.55,4.05,2,7,5,6.58
